url,total,Energy,Materials,Industrials,Consumer Discretionary,Consumer Staples,Health Care,Financials,Information Technology,Communication Services,Utilities,Real Estate
http://data.gdeltproject.org/gdeltv2/20190502193000.gkg.csv.zip,2371,1,1,6,0,1,3,1,1,3,2,0
http://data.gdeltproject.org/gdeltv2/20250128194500.gkg.csv.zip,1438,3,2,7,1,0,1,3,8,2,1,2
http://data.gdeltproject.org/gdeltv2/20201019123000.gkg.csv.zip,811,0,0,1,0,0,1,0,7,0,0,1
http://data.gdeltproject.org/gdeltv2/20190120111500.gkg.csv.zip,519,0,1,0,1,1,1,1,0,0,1,0
http://data.gdeltproject.org/gdeltv2/20211221000000.gkg.csv.zip,958,0,0,2,0,0,2,0,0,1,0,1
http://data.gdeltproject.org/gdeltv2/20211105001500.gkg.csv.zip,1119,3,1,1,1,0,2,1,1,2,2,0
http://data.gdeltproject.org/gdeltv2/20151120160000.gkg.csv.zip,2042,10,4,6,1,2,2,5,3,9,9,2
http://data.gdeltproject.org/gdeltv2/20151122181500.gkg.csv.zip,1155,6,0,3,1,1,0,1,0,0,2,2
http://data.gdeltproject.org/gdeltv2/20230101223000.gkg.csv.zip,304,0,0,0,0,0,0,0,0,0,1,0
http://data.gdeltproject.org/gdeltv2/20180918113000.gkg.csv.zip,1254,0,2,3,1,1,0,2,2,0,3,1
http://data.gdeltproject.org/gdeltv2/20200722150000.gkg.csv.zip,1443,3,0,12,0,0,3,4,0,8,1,14
http://data.gdeltproject.org/gdeltv2/20160911010000.gkg.csv.zip,849,2,1,1,0,0,0,1,0,0,0,0
http://data.gdeltproject.org/gdeltv2/20220711101500.gkg.csv.zip,402,1,0,1,0,0,0,0,0,1,0,0
http://data.gdeltproject.org/gdeltv2/20200712050000.gkg.csv.zip,341,0,0,1,0,0,0,0,0,0,0,0
http://data.gdeltproject.org/gdeltv2/20210417230000.gkg.csv.zip,474,0,0,1,0,0,0,0,0,0,1,0
http://data.gdeltproject.org/gdeltv2/20160720011500.gkg.csv.zip,2162,3,1,4,0,0,2,1,2,7,1,3
http://data.gdeltproject.org/gdeltv2/20160123233000.gkg.csv.zip,1044,0,2,4,0,1,0,1,1,5,4,0
http://data.gdeltproject.org/gdeltv2/20190203183000.gkg.csv.zip,834,2,0,1,0,0,1,2,0,3,0,0
http://data.gdeltproject.org/gdeltv2/20190219054500.gkg.csv.zip,895,3,0,1,0,1,0,4,0,0,0,1
http://data.gdeltproject.org/gdeltv2/20200515033000.gkg.csv.zip,791,4,2,6,1,0,0,2,0,0,1,6
http://data.gdeltproject.org/gdeltv2/20220801191500.gkg.csv.zip,1218,0,0,2,1,0,1,1,2,4,0,2
http://data.gdeltproject.org/gdeltv2/20240817090000.gkg.csv.zip,313,0,0,0,0,0,0,0,0,0,0,0
http://data.gdeltproject.org/gdeltv2/20160907080000.gkg.csv.zip,1457,0,2,2,0,2,0,0,0,0,0,0
http://data.gdeltproject.org/gdeltv2/20180811023000.gkg.csv.zip,1037,2,0,0,0,0,1,0,1,0,5,1
http://data.gdeltproject.org/gdeltv2/20200423130000.gkg.csv.zip,1130,2,2,2,2,0,0,8,4,5,7,0
http://data.gdeltproject.org/gdeltv2/20220604014500.gkg.csv.zip,949,1,1,0,1,0,0,0,0,7,0,0
http://data.gdeltproject.org/gdeltv2/20161212051500.gkg.csv.zip,926,4,0,1,0,0,0,0,1,8,0,0
